Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE, CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INVENTORY
APPLE,"MacBook Air 13"" Apple",29,25-Jul-24,,SMQ07VND6WW,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",30,25-Jul-24,,SCV2N9FHT47,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.31,25-Jul-24,,SL70G4066LF,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",32,25-Jul-24,,SFPM74T19Q1,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",33,25-Jul-24,,SHF25T7QC0H,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",34,25-Jul-24,,SG7LCF1WMLY,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.35,25-Jul-24,,SJXGJNPYFPK,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.36,25-Jul-24,,SG7QQYLQXDP,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.37,25-Jul-24,,SKWRGG9YW5P,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.38,25-Jul-24,,SK72L4YHQ2G,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
