#,Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE,CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INCLUDED,INVENTORY,country
221,APPLE,MacBook Air 13  Apple,221,11-Oct-24,EN,SMHVQPQY4H0,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
222,APPLE,MacBook Air 13  Apple,222,11-Oct-24,EN,SDV675NYJ6T,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
223,APPLE,MacBook Air 13  Apple,223,11-Oct-24,EN,SKMGX25JL2N,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
227,PC,ThinkPad T14 14  Gen 5,227,14-Oct-24,EN,SPF52F5ZE,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
228,PC,ThinkPad T14 14  Gen 5,228,14-Oct-24,EN,SPF52HCFR,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
229,PC,ThinkPad T14 14  Gen 5,229,14-Oct-24,EN,SPF52F60C,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
230,PC,ThinkPad T14 14  Gen 5,230,14-Oct-24,EN,SPF52F5ZP,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
231,PC,ThinkPad T14 14  Gen 5,231,14-Oct-24,EN,SPF52F5ZZ,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
232,PC,ThinkPad T14 14  Gen 5,232,14-Oct-24,EN,SPF52F611,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
233,APPLE,MacBook Pro 16  Apple,233,15-Aug-24,EN,SD93QDP9DQ6,,A2991,COMPLETED,Abnormal Security,NEW,ADP000,MacBook Pro 16  Apple M3PRO 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD,M3PRO,12,18,36,512,,INCLUDED,,SHIPPED,Singapore
234,APPLE,MacBook Pro 16  Apple,234,15-Aug-24,EN,SJLWFT6PL6Q,,A2991,COMPLETED,Abnormal Security,NEW,ADP000,MacBook Pro 16  Apple M3PRO 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD,M3PRO,12,18,36,512,,INCLUDED,,SHIPPED,Singapore
