#,Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE,CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INCLUDED,INVENTORY,country
53,APPLE,MacBook Air 13 Apple,53,25-Jul-24,,SKJTPWM4C9P,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
54,APPLE,MacBook Air 13 Apple,54,25-Jul-24,,SK7TD9K1GKL,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
55,APPLE,MacBook Air 13 Apple,55,25-Jul-24,,SGG9X5WGJHN,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
56,APPLE,MacBook Air 13 Apple,56,25-Jul-24,,SKW0C4G4HGY,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
57,APPLE,MacBook Air 13 Apple,57,25-Jul-24,,SJ6DKFCNKF6,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
59,APPLE,MacBook Air 13 Apple,59,25-Jul-24,,SJ2M4R9T2HQ,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
61,APPLE,MacBook Air 13 Apple,61,25-Jul-24,,SM5PH4F2FHF,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
63,APPLE,MacBook Pro 14 Apple,63,11-Apr-24,,SDDWPDHF62W,,A2992,COMPLETED,Uipath,NEW,ADP000,MacBook Pro 14 Apple M3 Pro 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD,M3 Pro,11,14,18,512,,INCLUDED,,SHIPPED,Singapore
67,APPLE,MacBook Air 13 Apple,67,25-Jul-24,,SLXQLGCXVY9,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
69,APPLE,MacBook Air 13 Apple,69,25-Jul-24,,SFNW1CP2XJ0,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
70,APPLE,MacBook Air 13 Apple,70,25-Jul-24,,SGK60L2DFVJ,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
72,APPLE,MacBook Air 13 Apple,72,25-Jul-24,,SMGQ1GL4THR,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
73,APPLE,MacBook Air 13 Apple,73,25-Jul-24,,SH451652XW4,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
74,APPLE,MacBook Air 13 Apple,74,25-Jul-24,,SL6GVV6X2VM,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
75,APPLE,MacBook Air 13 Apple,75,21-Feb-24,,SC2YHTGC4MM,,A2681,COMPLETED,Sprout Social,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 10-Core GPU 16GB RAM 256GB SSD,M2,8,10,16,256,,INCLUDED,,SHIPPED,Singapore
76,APPLE,MacBook Air 13 Apple,76,21-Feb-24,,SJ2DWQ3X0D4,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
77,APPLE,MacBook Air 13 Apple,77,21-Feb-24,,SH2Y7X5146G,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
78,APPLE,MacBook Pro 16 Apple,78,25-Jul-24,,SG75Y6KGQT4,,A2991,COMPLETED,Wise,NEW,ADP000,MacBook Pro 16 Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD,M3 Pro,12,18,36,512,,INCLUDED,,SHIPPED,Singapore
80,APPLE,MacBook Pro 16 Apple,80,25-Jul-24,,SDQ2Y400F03,,A2991,COMPLETED,Wise,NEW,ADP000,MacBook Pro 16 Apple M3 Pro 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD,M3 Pro,12,18,36,512,,INCLUDED,,SHIPPED,Singapore
